	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0	0.0	0.1719432	0.5520076999999999	0.2586563	0.6995340999999999	0.0427575	0.8023434	0.5187669	0.0233997	0.5194938	0.0154534	0.2951635	0.0497709	0.0231995	0.0042333	0.1108946	0.3866942	0.5274605	0.060800699999999985	0.0015619000000000002	0.0210825	0.2021121	0.1017168	0.1402827	0.1319752	0.6403508000000001	0.4823885	0.4236904	0.2575363	0.5917336999999999	0.180597	0.048501	0.2809548	0.1738366	0.6637379	0.7587316	0.8049451999999999	0.1229066	0.0486651	0.6272705	0.0427825	0.7431715	0.5311227	0.6476897	0.6075837	0.6955352	0.6364521	0.6411701	0.3632523	0.1395419	0.8759179	0.5634645	0.4157236	0.2210301	0.5148316	0.3190103	0.2963896	0.2020156	0.1251927	0.2966506	0.0113713	0.3121132	0.6805435000000001	0.3933811	0.6647805999999999	0.2724228	0.3299547	0.5397046999999999	0.5899188	0.0070878999999999985	0.2083868	0.0192906	0.0330198	0.0864617	0.4035682	0.6041785	0.0335866	0.1019257	0.1777765	0.0255393	0.4882138	0.0985996	0.6207636	0.1909939	0.5574935999999999	0.1676261	0.16414520000000002	0.0795284	0.0407547	0.6921788000000001	0.715069	0.492765	0.6938465	0.403917	0.495586	0.6962359	0.2717533	0.8805469000000001	0.557034	0.6900568
1	0.1730764	0.0	0.5530425	0.3636449	0.7066041000000001	0.0271552	0.5148207	0.4662119000000001	0.0124877	0.4771604	0.0066725	0.4447478	0.028258	0.0121253	0.0152096	0.1081699	0.3342888	0.7452858	0.0450831	0.0002213	0.0520808	0.1764501	0.2145201	0.1063694	0.13708810000000002	0.6272438	0.4546845000000001	0.2750371	0.1560783	0.513258	0.2862824	0.0490007	0.2863174000000001	0.1096172	0.7016398	0.7749541999999999	0.6589215	0.0685862	0.0501285	0.6840075	0.0872347	0.6824785	0.7018371999999999	0.5666128	0.7366869	0.6593791999999999	0.5316376	0.6284852	0.4271011	0.15689879999999998	0.7211738	0.7045316999999999	0.4633262	0.363768	0.5404207	0.2248056	0.32824770000000003	0.2702085	0.0878932	0.3004971	0.0301842	0.3722053	0.6745825	0.4691791	0.6619695	0.3934492	0.4946555	0.5010710999999999	0.4338036	0.0185634	0.1279065	0.0198459	0.0304249	0.1179736	0.3557856	0.7846354999999999	0.0100397	0.08325389999999999	0.1904622	0.0292359	0.3991308	0.13793970000000005	0.9456581	0.12708060000000002	0.6839203	0.2214703	0.1432775	0.1081719	0.0366649	0.9151885	0.7788347	0.4534282	0.7770052	0.5558635999999999	0.4859071	0.7382477	0.4060824	0.7998099	0.6045775999999999	0.6337554
2	0.12370639999999998	0.2655535	0.0	0.4579945	0.692098	0.0415626	0.7552425	0.4372593	0.018663	0.5104467	0.0271136	0.4094292	0.0302601	0.0106287	0.003971199999999999	0.08231050000000001	0.3341606	0.6249871	0.07579630000000001	0.0056886	0.066791	0.196245	0.0999503	0.1022074	0.08466289999999999	0.6558725000000001	0.4285836	0.2414761	0.2418733	0.5078013	0.1859097	0.0362353	0.1661565	0.1558635	0.6841847	0.6761669	0.7018272	0.1051401	0.0885227	0.6394481	0.0314074	0.661744	0.7277314	0.6264069999999999	0.664341	0.6257189000000001	0.6708647	0.5746978	0.4093564	0.2033405	0.7176138000000001	0.7104969	0.4239622	0.2640475	0.5939382	0.445294	0.3248162	0.2607997	0.0979656	0.3127083	0.0072586	0.3315524	0.5534159000000001	0.564841	0.4916082000000001	0.3040396	0.4033071	0.4229628	0.4545904000000001	0.0212713	0.1537646	0.0338116	0.0575956	0.05491569999999999	0.3774167	0.611433	0.0223614	0.1392454	0.1378576	0.0425196	0.3765945	0.117465	0.7315335999999999	0.1278472	0.5567962	0.25236620000000004	0.2581757	0.0539775	0.055781	0.6235745	0.6994272	0.4608925999999999	0.8708415999999999	0.5624389	0.5302274	0.7280425	0.2740868	0.6996349000000001	0.5986531	0.5599998
3	0.2148263	0.2386049	0.5699189	0.0	0.6376149	0.058325	0.745425	0.3838723	0.007982600000000001	0.4650007	0.0221951	0.3537648	0.033500800000000004	0.0095601	0.0116351	0.1199681	0.4563774	0.5585659000000001	0.0692085	0.004351399999999999	0.0231173	0.162846	0.1990914	0.16521760000000002	0.0918594	0.6635904	0.6126838000000001	0.3929653	0.17266879999999998	0.4288005	0.2344717	0.0233066	0.21512960000000006	0.1773553	0.6542874	0.6711471	0.6685446999999999	0.11681099999999997	0.052504099999999984	0.6519895	0.0381571	0.6321137	0.7835233	0.5347677	0.5450837	0.6546555000000001	0.6294592	0.6775747	0.4541313	0.1552193	0.5652308000000001	0.6264392	0.5935693	0.29165	0.5977965000000001	0.3376165	0.2873718	0.344662	0.0705909	0.2570053	0.0104611	0.2501076	0.7964508000000001	0.5424758000000001	0.6453979000000001	0.3681325	0.3824689000000001	0.4518215999999999	0.4626581	0.032124	0.2125578	0.038225	0.0247259	0.08415239999999999	0.3962952	0.6308997	0.036087	0.0983091	0.21908110000000006	0.033794800000000014	0.4014227	0.1546597	0.6962881	0.17265379999999994	0.5880944	0.1921497	0.1202888	0.0802598	0.0360033	0.7955988	0.7644436	0.5256503	0.6240234	0.4400264	0.540894	0.7481836	0.2466727	0.7386064999999999	0.613926	0.7953986
4	0.1585953	0.0402289	0.0790947	0.1324349	0.0	0.6800571999999999	0.0076459000000000015	0.2061139	0.0073668000000000015	0.28975690000000004	0.2672029	0.6651630000000001	0.6884968000000001	0.5581315	0.6584456999999999	0.4708625	0.79795	0.6038505999999999	0.3690064	0.2945115	0.0227946	0.040514	0.228966	0.1428189	0.1428802	0.7065431	0.5318776	0.4232994000000001	0.2216088	0.5373060000000001	0.1805557	0.0449075	0.2349143	0.1296261	0.6269668	0.6705715999999999	0.7599060000000001	0.0963439	0.033468300000000006	0.7324911	0.07078229999999999	0.6106842	0.7662291999999999	0.4852701	0.6074735	0.8362695	0.6980506	0.5407705	0.5053824	0.154167	0.7346188	0.7051954	0.5798194000000001	0.2483862	0.5125069999999999	0.3767433	0.2001142	0.2498843	0.12844239999999998	0.2760979	0.0249833	0.3163848	0.5819474	0.5309395	0.5011850999999999	0.3986968	0.3953864	0.4246428	0.5013014	0.0278141	0.20288670000000006	0.0289569	0.0533836	0.060994500000000014	0.4218332	0.6442594	0.0238241	0.0892498	0.1416708	0.0237238	0.4548348	0.112856	0.8057671	0.1775229	0.6480187	0.2181849	0.2022714	0.1177528	0.079247	0.7223049	0.7287439	0.4287657	0.6655909000000001	0.5066485	0.5578598000000001	0.6322420999999999	0.282542	0.6420509	0.6116468	0.6682606
5	0.1322869	0.1902584	0.5136725000000001	0.4822244000000001	0.7307983	0.0	0.6680893	0.4985312	0.0139166	0.4699064000000001	0.014493700000000003	0.4513033	0.0762343	0.0169439	0.012072200000000002	0.1173087	0.435142	0.6148906	0.0883909	0.008417399999999998	0.0506817	0.1754345	0.1368354	0.2144938	0.209668	0.7389295	0.4803484000000001	0.4040759	0.2490045	0.4399431	0.1491522	0.015493	0.1875613	0.1418203	0.8136943	0.7849964	0.6506411999999999	0.16542720000000002	0.0479627	0.6847036999999999	0.06721060000000001	0.6565215999999999	0.6122854	0.5500025	0.5629901999999999	0.5723664	0.6803077	0.5967551	0.3943868	0.2148542	0.6103242	0.6222401999999999	0.4631292	0.2794613	0.6386856	0.31556740000000005	0.3089721	0.2826079	0.060101	0.2184428	0.0228847	0.249088	0.6757779	0.4550867	0.6640796999999999	0.2472661	0.377148	0.4301771	0.6104598000000001	0.0154714	0.1670374	0.026467	0.061717	0.06949730000000001	0.3962931	0.6914385999999999	0.0293358	0.1116693	0.2045141	0.07142949999999999	0.485422	0.1301152	0.7131926	0.2278878	0.6477377	0.20235870000000006	0.1368997	0.1108307	0.0378712	0.8237475000000001	0.8289144	0.5529164000000001	0.6922931	0.4902441	0.5393528000000001	0.6505715	0.28331300000000004	0.7104024	0.6974884	0.7494411999999999
6	0.168393	0.2306828	0.5254331999999999	0.3712141	0.6891066	0.0762633	0.0	0.4848428	0.0301678	0.5362149	0.0157648	0.4022581	0.0213401	0.0252184	0.0187677	0.07344880000000001	0.3447575	0.5366466	0.05313	0.0043318	0.0354844	0.14362650000000002	0.106129	0.1711884	0.1667211	0.6420735	0.585971	0.4359025	0.2175584	0.4528602	0.2088051	0.0231692	0.2018428	0.11951989999999997	0.7024311	0.661392	0.7908224	0.202033	0.0939919	0.661401	0.08938360000000001	0.6487571	0.7786405	0.4983657	0.7606088000000001	0.7433934	0.6745736	0.5053062	0.4843098	0.1089896	0.7862265	0.6291916999999999	0.4278013	0.2503701	0.6022281	0.34958890000000004	0.33421090000000003	0.2478931	0.13856749999999998	0.1960471	0.011761	0.3007993	0.6684352	0.5248552	0.6565416999999999	0.2891007	0.4155814000000001	0.4458573	0.5765511	0.0104634	0.1071876	0.0166106	0.0526629	0.0815407	0.4313656	0.6227028	0.0272895	0.1189082	0.1557873	0.0322755	0.3961513	0.1589889	0.5764351	0.21864	0.7466007	0.1677408	0.1331733	0.07876430000000001	0.0511606	0.5929977	0.7727561	0.5494836	0.6792318	0.4245423	0.5454574999999999	0.8241970999999999	0.262236	0.6536959	0.5956961999999999	0.8320860999999999
7	0.1401558	0.2332721	0.5919116999999999	0.4294648	0.8367621	0.0175305	0.7538246999999999	0.0	0.01171	0.5358782	0.0110325	0.3235976	0.037544	0.0237994	0.0148614	0.1440704	0.3706462	0.6212824	0.1058213	0.0036332	0.018134	0.13738370000000005	0.100365	0.1470711	0.1256933	0.7365499	0.5127520000000001	0.33908920000000004	0.1878791	0.4921406	0.2167947	0.0291825	0.1550767	0.1236297	0.6414661	0.6324696999999999	0.716309	0.1403738	0.0919716	0.7694233	0.046644	0.7179279000000001	0.6049335	0.5398359	0.6940272	0.6944899	0.6092196	0.6854095	0.4604219	0.2230119	0.6626113	0.7332419	0.4151451	0.2137976	0.4467185	0.3996774	0.2408902	0.2400716	0.1287794	0.2442691	0.027097900000000005	0.4244044	0.7034626	0.4928045999999999	0.4302162000000001	0.3587366	0.4002138	0.4402068	0.551837	0.0150715	0.1908623	0.0333214	0.0618535	0.0720112	0.35406040000000005	0.678146	0.01069	0.1556372	0.1223863	0.0218273	0.3552448	0.120966	0.8346499	0.11528499999999997	0.6450823	0.2259496	0.1663681	0.097767	0.042530800000000014	0.7134144	0.6906024000000001	0.427936	0.5902111999999999	0.5589501	0.5072958	0.6865729	0.28991890000000003	0.6125305999999999	0.5928401	0.5840818
8	0.14806629999999998	0.2574318	0.4106505999999999	0.4403736	0.7311468000000001	0.0478564	0.8042611999999999	0.4941506	0.0	0.4137818	0.0182606	0.3144424000000001	0.034956	0.010832	0.0084958	0.1107251	0.3216084	0.4741956	0.0760437	0.003745000000000001	0.048429	0.15978820000000002	0.13029380000000002	0.0714045	0.1219656	0.8097321999999999	0.41984	0.35385120000000003	0.1855952	0.5250783	0.27549159999999995	0.0188102	0.3234309	0.1339955	0.5491727	0.7480435000000001	0.7308473000000001	0.158151	0.1185045	0.6309693000000001	0.0268306	0.6586776	0.6394343000000001	0.6010055999999999	0.5664347	0.6280916999999999	0.7030821999999999	0.6525605	0.4104165	0.15645699999999998	0.7784485	0.6629364999999999	0.5240513	0.2830362	0.472668	0.3439653	0.2676221	0.3119426	0.0591908	0.2418157	0.009750299999999998	0.2436404	0.8216039	0.4888636	0.5709320999999999	0.3827137	0.3617434	0.5229563	0.564431	0.0035506	0.1691855	0.004932	0.067174	0.052423300000000006	0.4552512	0.658713	0.0173381	0.0749398	0.1409695	0.0235037	0.4514335999999999	0.0904801	0.6997325	0.140917	0.5900088000000001	0.1968631	0.21186910000000006	0.1002532	0.0350902	0.648614	0.6529826	0.4067397	0.7636428000000001	0.4980796	0.4500068	0.71314	0.2628747	0.7815409000000001	0.6157676	0.7503472
9	0.2855718	0.3138071	0.5970081	0.5773578	0.6012607	0.0350826	0.7795418000000001	0.6523722	0.0184546	0.0	0.0053109	0.3152448	0.018717	0.013204	0.014788299999999997	0.0751449	0.3989418	0.4431882	0.0863022	0.0029637	0.0597695	0.1551759	0.7234307	0.7407055	0.3958223	0.6495291999999999	0.5337668000000001	0.3577983	0.6707525	0.4844311	0.1164777	0.0513931	0.235581	0.074722	0.7192114000000001	0.7654133000000001	0.0027987	0.1418308	0.0684813	0.8090603	0.0505033	0.7369791	0.6217745	0.2959914	0.7239645	0.7003175	0.3819097	0.3745263	0.4477232	0.1445355	0.7836901999999999	0.6784913	0.4733399	0.267875	0.5719665	0.3163953	0.2171508	0.2847001	0.1724697	0.5530507	0.1655627	0.4628031	0.6125509	0.4720917000000001	0.5085685999999999	0.5479341	0.2780115	0.7742319000000001	0.0932098	0.5592496	0.5653130999999999	0.7604928000000001	0.6666308000000001	0.6615603	0.6042623	0.0429648	0.6151333999999999	0.1216434	0.1685557	0.0183386	0.4640031	0.1561898	0.7222041	0.2243481	0.6696222	0.20984970000000006	0.1418181	0.0500089	0.703361	0.6649099	0.8419679	0.4254159000000001	0.7892061	0.4236884	0.5619900999999999	0.7974335	0.26480820000000005	0.7133965	0.6444757	0.6433833000000001
